,Victims,Crime_Type,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Latitude,Longitude,Police District Number,Second,Minute,Hour,Week,Day,Month,Year
99,1,Other,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,W,RUSSELL,E,AVE,39.150669959,-77.204063076,6D,0,42,10,43,27,10,2019
610,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,S,GEORGIA,E,AVE,39.038667771,-77.050881629,4D,0,13,14,30,28,7,2019
847,1,Crime Against Person,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,S,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,35,18,8,18,2,2020
848,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,S,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,35,18,8,18,2,2020
849,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,S,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,35,18,8,18,2,2020
881,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,35,18,8,18,2,2020
2046,1,Other,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,E,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,0,11,32,7,8,2019
2178,1,Other,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,E,VEIRS MILL,W,RD,39.037367372,-77.051662066,4D,0,30,20,32,5,8,2019
2366,1,Crime Against Society,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150638641,-77.203963812,6D,0,36,18,16,14,4,2020
3353,2,Crime Against Person,GERMANTOWN,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876.0,MCPD,Parking Lot - Commercial,M,5M1,701.0,20900.0,E,FREDERICK,E,RD,39.198413208000005,-77.244945742,5D,0,20,20,27,4,7,2016
3613,1,Other,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,0,19,32,9,8,2019
3845,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,MCPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,0,11,33,14,8,2019
4443,1,Crime Against Property,SILVER SPRING,11200 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904.0,MCPD,Parking Lot - Commercial,I,3I1,518.0,11200.0,E,NEW HAMPSHIRE,W,AVE,39.039818289,-76.99061525100001,3D,0,18,14,31,1,8,2019
4485,1,Crime Against Property,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,W,GEORGIA,W,AVE,39.038667771,-77.050881629,4D,0,55,18,11,13,3,2020
4684,1,Crime Against Society,SILVER SPRING,8600 BLK  COLESVILLE RD,SILVER SPRING,MD,20910.0,MCPD,Street - In vehicle,G,3G1,108.0,8600.0,N,COLESVILLE,W,RD,38.996081210999996,-77.02813565,3D,0,10,23,3,15,1,2020
4742,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,324.0,11200.0,E,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,28,20,3,16,1,2020
5295,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,22,21,27,6,7,2016
5640,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Parking Lot - Commercial,L,4L2,321.0,11100.0,N,VEIRS MILL,E,RD,39.037367372,-77.051662066,4D,0,7,10,41,7,10,2019
6171,1,Crime Against Property,MONTGOMERY VILLAGE,700 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877.0,GPD,Parking Lot - Commercial,R,6R1,548.0,700.0,N,RUSSELL,W,AVE,39.150669959,-77.204063076,6D,0,21,7,45,4,11,2019
6302,1,Other,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,324.0,11200.0,N,GEORGIA,E,AVE,39.038699795999996,-77.050903788,4D,0,51,4,31,31,7,2019
6901,1,Crime Against Society,SILVER SPRING,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910.0,MCPD,Parking Lot - Commercial,G,3G1,94.0,8100.0,S,GEORGIA,W,AVE,38.990640348,-77.026675328,3D,0,56,18,3,16,1,2020
7518,1,Crime Against Society,WHEATON,11200 BLK  GEORGIA AVE,SILVER SPRING,MD,20902.0,MCPD,Street - Residential,L,4L2,324.0,11200.0,N,GEORGIA,W,AVE,39.038699795999996,-77.050903788,4D,0,41,22,27,10,7,2016
7646,1,Crime Against Society,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902.0,MCPD,Street - In vehicle,L,4L2,321.0,11100.0,E,VEIRS MILL,W,RD,39.037383899,-77.051682322,4D,0,35,18,8,18,2,2020
